ea_type,timestamp,session,symbol,source_file,action,trade_type,strategy,score,atr,price,sl,tp,reason,result,trade_id,profit,risk,r_multiple,raw
M5,2026.03.17 04:45:00,Asian,,20260325.log,SIGNAL_CHECK,SELL,RANGE(CT),100.0,3.45,5039.75,,,MIN_ATR_REJECT,SKIPPED,,,,,NJ	0	20:41:24.778	Core 1	2026.03.17 04:45:00   [GoldEA] [RANGE(CT)] SELL check: price=5039.75 atr=3.45 score=100 reason=MIN_ATR_REJECT
M5,2026.03.17 04:50:00,Asian,,20260325.log,SIGNAL_CHECK,BUY,RANGE,0.0,3.48,5039.09,,,RANGE_PENALTY_REJECTION,SKIPPED,,,,,JM	0	20:41:24.778	Core 1	2026.03.17 04:50:00   [GoldEA] [RANGE] BUY check: price=5039.09 atr=3.48 score=0 reason=RANGE_PENALTY_REJECTION
M5,2026.03.17 04:50:00,Asian,,20260325.log,SIGNAL_CHECK,SELL,RANGE(CT),100.0,3.48,5039.09,,,MIN_ATR_REJECT,SKIPPED,,,,,HL	0	20:41:24.778	Core 1	2026.03.17 04:50:00   [GoldEA] [RANGE(CT)] SELL check: price=5039.09 atr=3.48 score=100 reason=MIN_ATR_REJECT
M5,2026.03.17 04:55:00,Asian,,20260325.log,SIGNAL_CHECK,BUY,RANGE,0.0,3.69,5037.65,,,RANGE_PENALTY_REJECTION,SKIPPED,,,,,LO	0	20:41:24.778	Core 1	2026.03.17 04:55:00   [GoldEA] [RANGE] BUY check: price=5037.65 atr=3.69 score=0 reason=RANGE_PENALTY_REJECTION
M5,2026.03.17 04:55:00,Asian,,20260325.log,SIGNAL_CHECK,SELL,RANGE(CT),0.0,3.69,5037.65,,,RANGE_PENALTY_REJECTION,SKIPPED,,,,,FR	0	20:41:24.778	Core 1	2026.03.17 04:55:00   [GoldEA] [RANGE(CT)] SELL check: price=5037.65 atr=3.69 score=0 reason=RANGE_PENALTY_REJECTION
M5,2026.03.17 05:00:00,Asian,,20260325.log,SIGNAL_CHECK,BUY,RANGE,0.0,3.65,5038.14,,,RANGE_PENALTY_REJECTION,SKIPPED,,,,,RP	0	20:41:24.778	Core 1	2026.03.17 05:00:00   [GoldEA] [RANGE] BUY check: price=5038.14 atr=3.65 score=0 reason=RANGE_PENALTY_REJECTION
M5,2026.03.17 05:00:00,Asian,,20260325.log,SIGNAL_CHECK,SELL,RANGE(CT),0.0,3.65,5038.14,,,RANGE_PENALTY_REJECTION,SKIPPED,,,,,HO	0	20:41:24.778	Core 1	2026.03.17 05:00:00   [GoldEA] [RANGE(CT)] SELL check: price=5038.14 atr=3.65 score=0 reason=RANGE_PENALTY_REJECTION
M5,2026.03.17 05:05:00,Asian,,20260325.log,SIGNAL_CHECK,BUY,RANGE,0.0,3.67,5035.61,,,RANGE_PENALTY_REJECTION,SKIPPED,,,,,DE	0	20:41:24.778	Core 1	2026.03.17 05:05:00   [GoldEA] [RANGE] BUY check: price=5035.61 atr=3.67 score=0 reason=RANGE_PENALTY_REJECTION
M5,2026.03.17 05:05:00,Asian,,20260325.log,SIGNAL_CHECK,SELL,RANGE(CT),0.0,3.67,5035.61,,,RANGE_PENALTY_REJECTION,SKIPPED,,,,,FK	0	20:41:24.778	Core 1	2026.03.17 05:05:00   [GoldEA] [RANGE(CT)] SELL check: price=5035.61 atr=3.67 score=0 reason=RANGE_PENALTY_REJECTION
M5,2026.03.17 05:10:00,Asian,,20260325.log,SIGNAL_CHECK,BUY,RANGE,0.0,3.72,5034.5,,,RANGE_PENALTY_REJECTION,SKIPPED,,,,,CF	0	20:41:24.778	Core 1	2026.03.17 05:10:00   [GoldEA] [RANGE] BUY check: price=5034.50 atr=3.72 score=0 reason=RANGE_PENALTY_REJECTION
